ponížit se</b> \n    <b>snížit se</b> (k čemu) \n    <b>zdiskreditovat se</b> (něčím) 
abased	<b>abased</b><br><b>degradován</b>
abiotrophy	<b>abiotrophy</b><br><b>abiotrofie</b> 
abject	<b>abject</b><br><b>bídný</b> \n    <b>pokleslý</b> 
abject conditions	<b>abject conditions</b><br><b>bídné podmínky</b>
abject despair	<b>abject despair</b><br><b>nejhlubší zoufalství</b>
abject imitation	<b>abject imitation</b><br><b>otrocká imitace</b>\n    <b>otrocká napodobenina</b>
abject misery	<b>abject misery</b><br><b>nejhorší bída</b>
abjection	<b>abjection</b><br><b>degradace</b> \n    <b>ponížení</b> \n    <b>skleslost</b> 
abjectly	<b>abjectly</b><br><b>bídně</b> 
abjectness	<b>abjectness</b><br><b>zavrženíhodnost</b> 
abjuration	<b>abjuration</b><br><b>odvolání</b> 
abjure	<b>abjure</b><br><b>odpřisáhnout</b>\n    <b>zříct se</b>
abjured	<b>abjured</b><br><b>odvolal</b> \n    <b>zřekl se</b> 
Abkhazia	<b>Abkhazia</b><br><i>[zem.]</i> <b>Abcházie</b> 
Abkhazian	<b>Abkhazian</b><br><b>abcházština</b> 
ABL	<b>ABL</b><br><i>[zkr.] [voj.]</i> <b>Airborne Laser</b> 
ablate	<b>ablate</b><br><b>odejmout</b>
ablated	<b>ablated</b><br><b>odstraněný</b> \n    <b>odříznutý</b> 
ablating	<b>ablating</b><br><b>odnímání</b>
ablation	<b>ablation</b><br><b>ablace</b> \n    <b>odnětí</b> \n    <b>odplavení</b> \n    <b>snesení</b> 
ablative	<b>ablative</b><br><b>ablativ</b> 
ablative absolute	<b>ablative absolute</b><br><i>[lingv.]</i> <b>ablativ absolutní</b>
ablaut	<b>ablaut</b><br><b>ablaut</b> 
ablaze	<b>ablaze</b><br><b>hořící</b> \n    <b>planoucí</b> 
able	<b>able</b><br><b>dovedný</b>\n    <b>nadaný</b>\n    <b>schopnost</b> \n    <b>schopný</b>\n    <b>zdatný</b> 
ABLE ACE	<b>ABLE ACE</b><br><i>[zkr.] [voj.]</i> <b>Airborne Laser Extended Atmospheric Characterization Experiment</b> 
able seaman	<b>able seaman</b><br><b>námořník první třídy</b> 
able to compete	<b>able to compete</b><br><b>konkurenceschopný</b> 
able to pay	<b>able to pay</b><br><b>solventní</b> 
able to work	<b>able to work</b><br><b>práceschopný</b> 
able-bodied	<b>able-bodied</b><br><i>[voj.]</i> <b>schopen</b> \n    <b>tělesně schopný</b> 
ablepharia	<b>ablepharia</b><br><b>ablefarie</b> 
abler	<b>abler</b><br><b>schopnější</b> 
ablest	<b>ablest</b><br><b>nejschopnější</b> 
ABLEX	<b>ABLEX</b><br><i>[zkr.] [voj.]</i> <b>Airborne Laser Experiment</b> 
ablong	<b>ablong</b><br><b>podlouhlý</b> 
abloom	<b>abloom</b><br><b>kvést</b> 
ablution	<b>ablution</b><br><b>mytí se</b> \n    <b>umývání</b> 
ably	<b>ably</b><br><b>dovedně</b>
ABM	<b>ABM</b><br><b>protibalistická raketa</b> ("obranná raketa sestrojená pro sestřelení mezikontinentální balistické rakety")
abnegate	<b>abnegate</b><br><b>vzdát se</b>\n    <b>zříct se</b>
abnegate a right	<b>abnegate a right</b><br><b>vzdát se práva</b>
abnegation	<b>abnegation</b><br><b>zřeknutí se</b> (názoru ap.) 
Abner	<b>Abner</b><br><i>[jmén.]</i> <b>Abner</b> (příjmení) 
abnormal	<b>abnormal</b><br><b>abnormální</b>\n    <b>nezvyklý</b>\n    <b>výjimečný</b>
abnormal psychology	<b>abnormal psychology</b><br><b>psychopatologie</b>
abnormalities	<b>abnormalities</b><br><i>pl.</i> <b>odchylky</b>
abnormality	<b>abnormality</b><br><b>abnormalita</b> \n    <b>abnormálnost</b> \n    <b>nenormálnost</b> \n    <b>nepravidelnost</b>\n    <b>odchylka</b>\n    <b>vada</b>
abnormally	<b>abnormally</b><br><b>abnormálně</b>
abnormity	<b>abnormity</b><br><b>abnormalita</b> 
Abo	<b>Abo</b><br><i>[jmén.]</i> <b>Abo</b> (příjmení) 
abo	<b>abo</b><br><b>domorodec</b> 
aboard	<b>aboard</b><br><b>na palubu</b>\n    <b>na palubě</b>\n    <b>naloděn</b> \n    <b>v autobusu</b> \n    <b>ve vlaku</b> 
abode	<b>abode</b><br><b>bydliště</b>
abohm	<b>abohm</b><br><b>absolutní ohm</b> 
abolish	<b>abolish</b><br><b>anulovat</b> \n    <b>odstranit</b> \n    <b>zrušit</b> (zákonem)
abolish measures	<b>abolish measures</b><br><b>odstranit opatření</b> 
abolish slavery	<b>abolish slavery</b><br><b>zrušit otroctví</b>
abolished	<b>abolished</b><br><b>zrušený</b> 
abolishing	<b>abolishing</b><br><b>rušení</b>
abolishment	<b>abolishment</b><br><b>zrušení</b>
abolition	<b>abolition</b><br><b>zrušení</b>
abolitionist	<b>abolitionist</b><br><b>abolicionista</b> 
abominable	<b>abominable</b><br><b>hnusný</b> \n    <b>odporný</b> \n    <b>ohavný</b>
abominably	<b>abominably</b><br><b>odporně</b> \n    <b>ohavně</b> 
abominate	<b>abominate</b><br><b>děsit se</b> (čeho)\n    <b>hnusit</b> \n    <b>ošklivit si</b>
abomination	<b>abomination</b><br><b>hnus</b> \n    <b>ohavnost</b> \n    <b>sprostota</b> 
aboriginal	<b>aboriginal</b><br><b>domorodý</b>\n    <b>prapůvodní</b>
Aborigine	<b>Aborigine</b><br><b>původní Australan</b>
aborigine	<b>aborigine</b><br><b>domorodec</b>
aborigines	<b>aborigines</b><br><b>domorodci</b>
aborning	<b>aborning</b><br><b>při porodu</b>\n    <b>při zrození</b>\n    <b>rodící se</b> 
abort	<b>abort</b><br><b>nezdařit se</b>\n    <b>potratit</b>\n    <b>překazit</b> \n    <b>přerušit</b> \n    <b>selhat</b>\n    <b>zmařit</b> \n    <b>zrušit</b> 
aborted	<b>aborted</b><br><b>zrušený</b>
aborticide	<b>aborticide</b><br><b>zabití plodu</b> 
aborting	<b>aborting</b><br><b>rušení</b>
abortion	<b>abortion</b><br><b>interrupce</b> \n    <b>interupční</b> \n    <b>potrat</b>\n    <b>přerušení</b> 
abortionist	<b>abortionist</b><br><b>doktor provádějící potrat</b>
abortions	<b>abortions</b><br><i>pl.</i> <b>potraty</b>
abortive	<b>abortive</b><br><i>[obec.]</i> <b>nezdařený</b> (an ~ attempt = nezdařený pokus) \n    <i>[obec.]</i> <b>neúspěšný</b> (an ~ attempt = neúspěšný pokus) 
abortive attempt	<b>abortive attempt</b><br><b>nezdařený pokus</b>
abortive birth	<b>abortive birth</b><br><b>předčasný porod</b>
aborts	<b>aborts</b><br><b>ruší</b> 
abortus	<b>abortus</b><br><b>potrat</b> 
Abos	<b>Abos</b><br><b>australští domorodci</b> 
abound	<b>abound</b><br><b>hojně se vyskytovat</b>\n    <b>oplývat</b>\n    <b>překypovat</b> \n    <b>přetékat</b> 
about	<b>about</b><br><b>asi</b>\n    <b>dokola</b>\n    <b>kolem</b>\n    <b>kvůli</b> \n    <b>o</b>\n    <b>o čem</b>\n    <b>okolo</b>\n    <b>po</b>\n    <b>přibližně</b>\n    <b>sem tam</b>\n    <b>skoro</b>\n    <b>stran čeho</b>\n    <b>u</b>\n    <b>u sebe</b>\n    <b>v čem</b>
about face	<b>about face</b><br><b>čelem vzad</b>
about him	<b>about him</b><br><b>na něho</b>\n    <b>o něm</b>
about time	<b>about time</b><br><b>načase</b> (užíváno ve spojení it's about time - už bylo načase) 
about us	<b>about us</b><br><b>o nás</b> 
above	<b>above</b><br><b>nad</b>\n    <b>nade</b> \n    <b>nahoru</b>\n    <b>nahoře</b>\n    <b>shora</b>\n    <b>shora uvedený</b> \n    <b>výše</b>\n    <b>výše uvedený</b> 
above all	<b>above all</b><br><b>především</b>
above and beyond the call of duty	<b>above and beyond the call of duty</b><br><b>více než je očekáváno</b> 
above board	<b>above board</b><br><i>[brit.]</i> <b>čestný</b> 
above me	<b>above me</b><br><i>[id.]</i> <b>na mě moc</b> (it is above me - na to nestačím) 
above one's means	<b>above one's means</b><br><i>[id.]</i> <b>nad poměry</b> (o životní úrovni) 
above par	<b>above par</b><br><b>nad pari</b> \n    <b>nad paritou</b> \n    <b>nad průměrem</b> 
above standard	<b>above standard</b><br><b>nadprůměrný</b> 
above the law	<b>above the law</b><br><b>nepodléhající zákonům</b> 
above understanding	<b>above understanding</b><br><i>[id.]</i> <b>mimo chápání</b> (it is above understanding - vymyká se to všemu chápání) 
above-board	<b>above-board</b><br><b>bezelstně</b> \n    <b>poctivý</b> \n    <b>poctivě</b> \n    <b>čestně</b> 
above-mentioned	<b>above-mentioned</b><br><b>dříve zmíněný</b>
aboveboard	<b>aboveboard</b><br><b>otevřený</b> \n    <b>otevřeně</b> \n    <b>poctivě</b> 
aboveground	<b>aboveground</b><br><b>nadzemní</b>
aboveground nuclear testing	<b>aboveground nuclear testing</b><br><b>nadzemní nukleární testování</b>
abovementioned	<b>abovementioned</b><br><b>dříve zmíněný</b>
ABR	<b>ABR</b><br><i>[zkr.] [voj.]</i> <b>Aero-Ballistic Rocket</b> 
abracadabra	<b>abracadabra</b><br><b>čárymáry</b> 
abrade	<b>abrade</b><br><b>obrousit</b> \n    <b>opotřebit</b> 
abraded	<b>abraded</b><br><b>opotřebený</b> 
abrading	<b>abrading</b><br><b>brusný</b> 
Abraham	<b>Abraham</b><br><i>[jmén.]</i> <b>Abraham</b> (příjmení) 
Abram	<b>Abram</b><br><i>[jmén.] [náb.]</i> <b>Abram</b> 
Abrams	<b>Abrams</b><br><i>[jmén.]</i> <b>Abrams</b> (příjmení) 
Abramson	<b>Abramson</b><br><i>[jmén.]</i> <b>Abramson</b> (příjmení) 
abrasion	<b>abrasion</b><br><b>abraze</b> \n    <b>obrušování</b>\n    <b>oděrka</b>\n    <b>odřenina</b>\n    <i>[tech.]</i> <b>otěr</b>
abrasion belt	<b>abrasion belt</b><br><i>[tech.]</i> <b>brusný pás</b>
abrasion dust	<b>abrasion dust</b><br><i>[tech.]</i> <b>brusný prach</b>
abrasion polishing	<b>abrasion polishing</b><br><b>leštění broušením</b>
abrasion resistance	<b>abrasion resistance</b><br><i>[tech.]</i> <b>pevnost v oděru</b>
abrasion test	<b>abrasion test</b><br><i>[tech.]</i> <b>zkouška na otěr</b>
abrasions	<b>abrasions</b><br><i>pl.</i> <b>oděrky</b>
abrasive	<b>abrasive</b><br><b>brousící</b>\n    <b>brusivo</b>\n    <b>brusný</b>
abrasive band	<b>abrasive band</b><br><b>brusný pás</b>
abrasive belt	<b>abrasive belt</b><br><b>brusný pás</b>
abrasive cloth	<b>abrasive cloth</b><br><b>brusné plátno</b>
abrasive disk	<b>abrasive disk</b><br><b>brusný kotouč</b>
abrasive grain	<b>abrasive grain</b><br><b>brusné zrno</b>
abrasive mark	<b>abrasive mark</b><br><b>stopa po brusivu</b>
abrasive material	<b>abrasive material</b><br><b>brusný materiál</b>
abrasive paper	<b>abrasive paper</b><br><b>papír brusný</b>
abrasive powder	<b>abrasive powder</b><br><b>brusný prášek</b>
abrasive quality	<b>abrasive quality</b><br><b>brusivost</b>
abrasive segment	<b>abrasive segment</b><br><b>brusný segment</b>
abrasively	<b>abrasively</b><br><b>brusně</b> \n    <b>hrubě</b> 
abrasiveness	<b>abrasiveness</b><br><b>abrazivnost</b> \n    <b>drsnost</b> \n    <b>hrubost</b> \n    <b>obrusnost</b> 
abreact	<b>abreact</b><br><b>odreagovat</b> 
abreaction	<b>abreaction</b><br><b>odreagování</b> 
abreast	<b>abreast</b><br><b>bok po boku</b> \n    <b>držet krok (s)</b> \n    <b>vedle sebe</b> 
abridge	<b>abridge</b><br><b>zbavit</b>\n    <b>zestručnit</b> (text)\n    <b>zkrátit</b> (text)
abridge a sb. of rights	<b>abridge a sb. of rights</b><br><b>zbavit práv</b> (koho)
abridge a sb. of st.	<b>abridge a sb. of st.</b><br><b>zbavit</b> (koho čeho)
abridged	<b>abridged</b><br><b>zestručněný</b> 
abridged division	<b>abridged division</b><br><b>zkrácené dělení</b>
abridged multiplication	<b>abridged multiplication</b><br><b>zkrácené násobení</b>
abridgement	<b>abridgement</b><br><b>výtah</b> (z textu)\n    <b>zkrácené vydání</b>
abridgment	<b>abridgment</b><br><b>snížení</b> 
abroad	<b>abroad</b><br><b>cizina</b>\n    <b>do ciziny</b>\n    <b>v cizině</b>\n    <b>v zahraničí</b> \n    <b>za hranicemi</b> \n    <b>zahraniční</b> \n    <b>zahraničí</b>
abrogate	<b>abrogate</b><br><b>anulovat</b> \n    <b>odstranit</b> \n    <b>zrušit</b> 
abrogated	<b>abrogated</b><br><b>odstranil</b> \n    <b>zrušil</b> 
abrogation	<b>abrogation</b><br><b>anulování</b> \n    <b>zrušení</b> (např. zákona) 
abrupt	<b>abrupt</b><br><b>neočekávaný</b> \n    <b>nesouvislý</b> \n    <b>nečekaný</b>\n    <b>náhlý</b>\n    <b>prudký</b>\n    <b>příkrý</b>\n    <b>strmý</b>\n    <b>strohý</b>
abrupt interval	<b>abrupt interval</b><br><b>neočekávaná přestávka</b>
abrupt peak	<b>abrupt peak</b><br><b>strmý štít</b>
abrupt style	<b>abrupt style</b><br><b>nesouvislý styl</b>
abrupt tern	<b>abrupt tern</b><br><b>prudká zatáčka</b>
abruption	<b>abruption</b><br><b>odlomení</b> \n    <b>odtržení</b> 
abruptly	<b>abruptly</b><br><b>náhle</b>\n    <b>zprudka</b>
abruptness	<b>abruptness</b><br><b>neočekávanost</b> \n    <b>strohost</b> 
abs	<b>abs</b><br><b>břišní svaly</b> 
Absaroka	<b>Absaroka</b><br><b>Absarokové</b> (indiánský kmen (Vrány)) \n    <b>absarožský</b> (indiánský kmen (Vrány)) 
abscess	<b>abscess</b><br><i>[med.]</i> <b>absces</b>\n    <b>hlíza</b>
abscissa	<b>abscissa</b><br><b>abscisa</b> \n    <b>souřadnice</b> \n    <b>úsečka</b> 
abscissae	<b>abscissae</b><br><i>pl. [mat.]</i> <b>úsečka</b> 
abscission	<b>abscission</b><br><b>oddělení</b> \n    <b>odnětí</b> \n    <b>odříznutí</b> 
abscond	<b>abscond</b><br><b>uniknout</b> \n    <b>uprchnout</b> 
absconder	<b>absconder</b><br><b>uprchlík</b> \n    <b>uprchlík před spravedlností</b> 
abseil	<b>abseil</b><br><b>slanit</b> \n    <b>slaňovat</b> 
abseiler	<b>abseiler</b><br><b>slaňující osoba</b> 
absence	<b>absence</b><br><b>absence</b> \n    <b>nedostatek</b>\n    <b>neexistence</b>\n    <b>nepřítomnost</b>\n    <b>neúčast</b> 
absence makes the heart grow fonder	<b>absence makes the heart grow fonder</b><br><b>střídmost dělá srdce něžnější</b> (nejsem si tím jist, ale bude to něco takového významu) 
absences	<b>absences</b><br><i>pl.</i> <b>nedostatky</b>
absent	<b>absent</b><br><b>chybějící</b> \n    <b>nepřítomný</b> (duchem)\n    <b>roztržitý</b> (duchem)
absent-minded	<b>absent-minded</b><br><b>duchem nepřítomný</b> \n    <b>roztržitý</b> 
absent-mindedly	<b>absent-mindedly</b><br><b>nepozorně</b> 
absent-mindedness	<b>absent-mindedness</b><br><b>nepřítomnost duchem</b> \n    <b>roztržitost</b> 
absented	<b>absented</b><br><b>chybějící</b>
absentee	<b>absentee</b><br><b>absentér</b> \n    <b>nepřítomný</b> 
absenteeism	<b>absenteeism</b><br><b>absentérství</b> 
absently	<b>absently</b><br><b>nepřítomně</b> 
absentminded	<b>absentminded</b><br><b>roztržitý</b> 
absentmindedly	<b>absentmindedly</b><br><b>nepozorně</b> 
absentmindedness	<b>absentmindedness</b><br><b>roztržitost</b> 
absinth	<b>absinth</b><br><b>absint</b>\n    <b>pelyněk</b> 
absinthe	<b>absinthe</b><br><b>absint</b>
absolute	<b>absolute</b><br><b>absolutistický</b>\n    <b>absolutní</b>\n    <b>naprostý</b> \n    <b>neomezený</b>\n    <b>úplný</b>
absolute advantage	<b>absolute advantage</b><br><i>[eko.]</i> <b>absolutní výhoda</b> 
absolute agreement	<b>absolute agreement</b><br><b>naprostá shoda</b>
absolute alcohol	<b>absolute alcohol</b><br><b>absolutní alkohol</b>\n    <b>čistý alkohol</b>
absolute biochemical oxidation	<b>absolute biochemical oxidation</b><br><i>[eko.]</i> <b>úplná biochemická oxidace</b> 
absolute colorimetric intent	<b>absolute colorimetric intent</b><br><i>[fráz.] [opt.]</i> <b>absolutní kolorimetrický záměr</b> 
absolute command	<b>absolute command</b><br><b>důrazný rozkaz</b>
absolute denial	<b>absolute denial</b><br><b>úplné popření</b>
absolute error	<b>absolute error</b><br><i>[tech.]</i> <b>absolutní chyba</b> 
absolute fool	<b>absolute fool</b><br><b>úplný hlupák</b>
absolute freedom	<b>absolute freedom</b><br><b>naprostá svoboda</b>
absolute humidity	<b>absolute humidity</b><br><i>[eko.]</i> <b>absolutní vlhkost vzduchu</b> 
absolute lethal dose (LD100)	<b>absolute lethal dose (LD100)</b><br><i>[eko.]</i> <b>absolutní (smrtelná) letální dávka (LD100)</b> 
absolute loss	<b>absolute loss</b><br><b>naprostá ztráta</b>
absolute magnitude	<b>absolute magnitude</b><br><i>[astr.]</i> <b>absolutní magnituda</b> 
absolute monarchy	<b>absolute monarchy</b><br><b>absolutistická monarchie</b>
absolute monopoly	<b>absolute monopoly</b><br><i>[eko.]</i> <b>absolutní monopol</b> 
absolute physical scarcity	<b>absolute physical scarcity</b><br><i>[eko.]</i> <b>absolutní věcná vzácnost</b> (nedostatek, omezenost) 
absolute pitch	<b>absolute pitch</b><br><i>[hud.]</i> <b>absolutní výška</b> ((tónu)) 
absolute power	<b>absolute power</b><br><b>absolutní síla</b>
absolute promise	<b>absolute promise</b><br><b>bezpodmínečný slib</b>
absolute proof	<b>absolute proof</b><br><b>pozitivní důkaz</b>\n    <b>přesvědčivý důkaz</b>
absolute ruler	<b>absolute ruler</b><br><b>absolutní vládce</b>
absolute trust	<b>absolute trust</b><br><b>naprostá důvěra</b>
absolute value	<b>absolute value</b><br><i>[mat.]</i> <b>absolutní hodnota</b>
absolute zero	<b>absolute zero</b><br><i>[tech.]</i> <b>absolutní nula</b>
